fold,epoch,train_loss,train_eval_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn
0,1,0.8566140830516815,0.7357712090015411,0.2753623188405797,0.22309722669172055,0.34375,0.3333333333333333,0.34782608695652173,0.2222222222222222,3.0,8.0,15.0,6.0
0,2,0.7538505792617798,0.719602569937706,0.35748792270531393,0.25430518981986133,0.4375,0.4444444444444444,0.43478260869565216,0.30769230769230765,4.0,10.0,13.0,5.0
0,3,0.7661277204751968,0.6995652616024017,0.4492753623188406,0.2930132007909786,0.46875,0.4444444444444444,0.4782608695652174,0.32,4.0,11.0,12.0,5.0
0,4,0.7367220968008041,0.6790066361427307,0.5217391304347826,0.35252716167038417,0.59375,0.4444444444444444,0.6521739130434783,0.380952380952381,4.0,15.0,8.0,5.0
0,5,0.7061621844768524,0.6629398018121719,0.6038647342995169,0.4064163024307952,0.625,0.4444444444444444,0.6956521739130435,0.39999999999999997,4.0,16.0,7.0,5.0
0,6,0.6949709802865982,0.6485935598611832,0.6859903381642513,0.5071054031344784,0.6875,0.4444444444444444,0.782608695652174,0.4444444444444444,4.0,18.0,5.0,5.0
0,7,0.7046983689069748,0.6342218071222305,0.78743961352657,0.6296296296296297,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,8,0.6677237749099731,0.6187711954116821,0.8743961352657005,0.7213983547316881,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,9,0.6180891394615173,0.6029878109693527,0.8985507246376812,0.7745430495430495,0.8125,0.7777777777777778,0.8260869565217391,0.7000000000000001,7.0,19.0,4.0,2.0
0,10,0.6047883033752441,0.5875692665576935,0.927536231884058,0.8204295704295704,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,11,0.6476472318172455,0.5731428116559982,0.9516908212560387,0.8790123456790123,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,12,0.6067535430192947,0.5614075064659119,0.9613526570048309,0.9017195767195768,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,13,0.5784970372915268,0.5524550080299377,0.9758454106280193,0.9459876543209875,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,14,0.5786410421133041,0.5449097454547882,0.9855072463768116,0.967452300785634,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,15,0.5946128070354462,0.5353153496980667,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,16,0.5227611064910889,0.523297980427742,0.9951690821256038,0.9888888888888889,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,17,0.5306589528918266,0.5100109279155731,0.9951690821256038,0.9888888888888889,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,18,0.4384843707084656,0.4967796429991722,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,19,0.5029251277446747,0.48435216397047043,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,20,0.47616784274578094,0.47048890590667725,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,21,0.5476086586713791,0.4604039564728737,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
1,1,0.808715432882309,0.7675202935934067,0.21256038647342998,0.21054913575074866,0.34375,0.1111111111111111,0.43478260869565216,0.08695652173913043,1.0,10.0,13.0,8.0
1,2,0.7744643688201904,0.7484014183282852,0.2801932367149758,0.23331898278971114,0.375,0.2222222222222222,0.43478260869565216,0.16666666666666669,2.0,10.0,13.0,7.0
1,3,0.7422716617584229,0.7291639149188995,0.3671497584541063,0.2783732583808649,0.40625,0.3333333333333333,0.43478260869565216,0.24000000000000005,3.0,10.0,13.0,6.0
1,4,0.7401490807533264,0.7111144214868546,0.43478260869565216,0.3103096904125825,0.46875,0.3333333333333333,0.5217391304347826,0.2608695652173913,3.0,12.0,11.0,6.0
1,5,0.7292734384536743,0.6960389614105225,0.5072463768115942,0.3484199170256142,0.5625,0.5555555555555556,0.5652173913043478,0.4166666666666667,5.0,13.0,10.0,4.0
1,6,0.7177234441041946,0.6836403906345367,0.5748792270531401,0.38568591365692817,0.5625,0.5555555555555556,0.5652173913043478,0.4166666666666667,5.0,13.0,10.0,4.0
1,7,0.7404169142246246,0.6701336205005646,0.6956521739130435,0.5196343779677113,0.5625,0.5555555555555556,0.5652173913043478,0.4166666666666667,5.0,13.0,10.0,4.0
1,8,0.6363116502761841,0.6545243263244629,0.7342995169082125,0.5424447556800498,0.625,0.5555555555555556,0.6521739130434783,0.4545454545454546,5.0,15.0,8.0,4.0
1,9,0.6662581115961075,0.6420648694038391,0.8115942028985508,0.622334455667789,0.71875,0.7777777777777778,0.6956521739130435,0.6086956521739131,7.0,16.0,7.0,2.0
1,10,0.612650066614151,0.6311534643173218,0.8454106280193238,0.6536734870068204,0.78125,0.8888888888888888,0.7391304347826086,0.6956521739130435,8.0,17.0,6.0,1.0
