fold,epoch,train_loss,train_eval_loss,val_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn,val_auroc,val_auprc,val_accuracy,val_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn
0,1,0.22340274415910244,0.21219627559185028,0.22043202817440033,0.8472222222222222,0.6860279751346795,0.2903225806451613,1.0,0.0,0.45000000000000007,18.0,0.0,44.0,0.0,0.5833333333333333,0.4797619047619047,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
0,2,0.2163183130323887,0.19149800948798656,0.20986443012952805,0.88510101010101,0.758060195069999,0.3548387096774194,1.0,0.09090909090909091,0.4736842105263158,18.0,4.0,40.0,0.0,0.41666666666666663,0.3096764346764347,0.3125,1.0,0.08333333333333333,0.4210526315789474,4.0,1.0,11.0,0.0
0,3,0.20055299624800682,0.19907977804541588,0.22783894836902618,0.9103535353535354,0.7957367126067585,0.3225806451612903,1.0,0.045454545454545456,0.4615384615384615,18.0,2.0,42.0,0.0,0.3125,0.23231351981351983,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
0,4,0.20569441467523575,0.19534122943878174,0.23111487179994583,0.9406565656565656,0.9205600807574494,0.3225806451612903,1.0,0.045454545454545456,0.4615384615384615,18.0,2.0,42.0,0.0,0.375,0.2627164502164502,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
0,5,0.18575272895395756,0.17179590836167336,0.21876266598701477,0.9532828282828283,0.9431494431494432,0.5483870967741935,1.0,0.36363636363636365,0.5625,18.0,16.0,28.0,0.0,0.33333333333333337,0.23712121212121212,0.3125,0.75,0.16666666666666666,0.3529411764705882,3.0,2.0,10.0,1.0
0,6,0.18003270216286182,0.15651873871684074,0.2158387303352356,0.952020202020202,0.9362011208713621,0.7419354838709677,0.9444444444444444,0.6590909090909091,0.6799999999999999,17.0,29.0,15.0,1.0,0.35416666666666663,0.2951923076923077,0.375,0.25,0.4166666666666667,0.16666666666666666,1.0,5.0,7.0,3.0
0,7,0.1815090160816908,0.18821880593895912,0.25121909379959106,0.9709595959595958,0.9595959595959598,0.3387096774193548,1.0,0.06818181818181818,0.4675324675324675,18.0,3.0,41.0,0.0,0.3958333333333333,0.3041208791208791,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
0,8,0.18958497792482376,0.16617958433926105,0.23367342352867126,0.9898989898989898,0.982905982905983,0.43548387096774194,1.0,0.20454545454545456,0.5070422535211268,18.0,9.0,35.0,0.0,0.375,0.24717643467643466,0.3125,1.0,0.08333333333333333,0.4210526315789474,4.0,1.0,11.0,0.0
0,9,0.15036923065781593,0.13028920907527208,0.21340325474739075,0.9911616161616161,0.9830246913580247,0.9354838709677419,0.9444444444444444,0.9318181818181818,0.8947368421052632,17.0,41.0,3.0,1.0,0.33333333333333337,0.23829365079365078,0.5625,0.25,0.6666666666666666,0.22222222222222224,1.0,8.0,4.0,3.0
0,10,0.14251658972352743,0.1284192120656371,0.22783604264259338,0.9898989898989898,0.982905982905983,0.7741935483870968,1.0,0.6818181818181818,0.72,18.0,30.0,14.0,0.0,0.33333333333333337,0.22916666666666669,0.3125,0.25,0.3333333333333333,0.15384615384615383,1.0,4.0,8.0,3.0
0,11,0.1386589528992772,0.13276482839137316,0.25466736406087875,0.9835858585858586,0.9746913580246914,0.6612903225806451,1.0,0.5227272727272727,0.631578947368421,18.0,23.0,21.0,0.0,0.3541666666666667,0.24166666666666664,0.3125,0.25,0.3333333333333333,0.15384615384615383,1.0,4.0,8.0,3.0
