fold,epoch,train_loss,train_eval_loss,val_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn,val_auroc,val_auprc,val_accuracy,val_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn
2,1,0.2225896380841732,0.19453048892319202,0.20083434879779816,0.5260416666666667,0.4100335249042145,0.65625,0.375,0.75,0.35294117647058826,3.0,18.0,6.0,5.0,0.7333333333333333,0.7,0.625,0.6666666666666666,0.6,0.5714285714285715,2.0,3.0,2.0,1.0
2,2,0.29282740503549576,0.18371940962970257,0.19143733382225037,0.578125,0.42816969783082315,0.6875,0.5,0.75,0.4444444444444445,4.0,18.0,6.0,4.0,0.7333333333333333,0.7,0.625,0.6666666666666666,0.6,0.5714285714285715,2.0,3.0,2.0,1.0
2,3,0.2918979786336422,0.17406225576996803,0.18340739607810974,0.6614583333333334,0.5303189457601222,0.625,0.5,0.6666666666666666,0.4,4.0,16.0,8.0,4.0,0.7333333333333333,0.7,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,4,0.2312823012471199,0.16581323370337486,0.17685823142528534,0.7239583333333334,0.5980594160741219,0.65625,0.75,0.625,0.5217391304347827,6.0,15.0,9.0,2.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,5,0.2731856107711792,0.1586604006588459,0.17282414436340332,0.78125,0.6639610389610389,0.6875,0.875,0.625,0.5833333333333334,7.0,15.0,9.0,1.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,6,0.2043694406747818,0.1530200131237507,0.1695401519536972,0.8541666666666667,0.7245535714285714,0.71875,0.875,0.6666666666666666,0.608695652173913,7.0,16.0,8.0,1.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,7,0.1892748661339283,0.1481747105717659,0.16649362444877625,0.890625,0.7499323593073592,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,8,0.1934630125761032,0.1435294896364212,0.16336119174957275,0.9114583333333333,0.7906249999999999,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,9,0.17474745959043503,0.13931645080447197,0.16045768558979034,0.9270833333333334,0.8072916666666666,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,10,0.13287710212171078,0.1355182770639658,0.15753474831581116,0.9427083333333334,0.8409090909090908,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8,0.7555555555555555,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,11,0.17021983116865158,0.1312863640487194,0.15496662259101868,0.953125,0.8647186147186148,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8666666666666667,0.8666666666666667,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,12,0.14132449589669704,0.12729008868336678,0.15230056643486023,0.9635416666666666,0.8865936147186148,0.71875,1.0,0.625,0.6399999999999999,8.0,15.0,9.0,0.0,0.8666666666666667,0.8666666666666667,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,13,0.12766085006296635,0.1233152449131012,0.14950917661190033,0.9739583333333334,0.906795634920635,0.75,1.0,0.6666666666666666,0.6666666666666666,8.0,16.0,8.0,0.0,0.8666666666666667,0.8666666666666667,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,14,0.13664910942316055,0.11982877366244793,0.14697176218032837,0.9739583333333334,0.906795634920635,0.75,1.0,0.6666666666666666,0.6666666666666666,8.0,16.0,8.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,15,0.12322786822915077,0.11661778762936592,0.14445489645004272,0.9739583333333334,0.906795634920635,0.75,1.0,0.6666666666666666,0.6666666666666666,8.0,16.0,8.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,16,0.13476238027215004,0.1134216096252203,0.14172878861427307,0.9739583333333334,0.906795634920635,0.75,1.0,0.6666666666666666,0.6666666666666666,8.0,16.0,8.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,17,0.12148061767220497,0.11045049503445625,0.13949774205684662,0.9739583333333334,0.906795634920635,0.75,1.0,0.6666666666666666,0.6666666666666666,8.0,16.0,8.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,18,0.09579991921782494,0.10783981159329414,0.1374230831861496,0.9739583333333334,0.906795634920635,0.78125,1.0,0.7083333333333334,0.6956521739130436,8.0,17.0,7.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,19,0.127602094784379,0.10492591932415962,0.13550394773483276,0.9739583333333334,0.906795634920635,0.8125,1.0,0.75,0.7272727272727273,8.0,18.0,6.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,20,0.1312175001949072,0.10150129348039627,0.13372787833213806,0.9791666666666667,0.931795634920635,0.8125,1.0,0.75,0.7272727272727273,8.0,18.0,6.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,21,0.11729386635124683,0.09798582457005978,0.1319383680820465,0.9791666666666667,0.931795634920635,0.8125,1.0,0.75,0.7272727272727273,8.0,18.0,6.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,22,0.12189719080924988,0.09457799606025219,0.13015612959861755,0.984375,0.9526289682539684,0.8125,1.0,0.75,0.7272727272727273,8.0,18.0,6.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,23,0.09186934307217598,0.09182092174887657,0.12828052043914795,0.984375,0.9526289682539684,0.8125,1.0,0.75,0.7272727272727273,8.0,18.0,6.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,24,0.11457199044525623,0.08871716354042292,0.12686443328857422,0.984375,0.9526289682539684,0.84375,1.0,0.7916666666666666,0.761904761904762,8.0,19.0,5.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
2,25,0.08347291685640812,0.08520276378840208,0.12558282911777496,0.984375,0.9526289682539684,0.84375,1.0,0.7916666666666666,0.761904761904762,8.0,19.0,5.0,0.0,0.9333333333333333,0.9166666666666666,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
