fold,epoch,train_loss,train_eval_loss,val_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn,val_auroc,val_auprc,val_accuracy,val_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn
1,1,0.21542422845959663,0.2039519902318716,0.2106746882200241,0.6565656565656566,0.42521189119450375,0.3225806451612903,1.0,0.045454545454545456,0.4615384615384615,18.0,2.0,42.0,0.0,0.5,0.3556818181818182,0.1875,0.75,0.0,0.31578947368421056,3.0,0.0,12.0,1.0
1,2,0.21925653517246246,0.24527225643396378,0.26079701632261276,0.7121212121212122,0.49740902864053815,0.2903225806451613,1.0,0.0,0.45000000000000007,18.0,0.0,44.0,0.0,0.5,0.3458333333333333,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
1,3,0.21692614257335663,0.21548554114997387,0.23371092975139618,0.7929292929292929,0.6780059969120278,0.2903225806451613,1.0,0.0,0.45000000000000007,18.0,0.0,44.0,0.0,0.5,0.34226190476190477,0.25,1.0,0.0,0.4,4.0,0.0,12.0,0.0
1,4,0.1993100382387638,0.18946720659732819,0.20908794552087784,0.8737373737373737,0.7679462667401264,0.4032258064516129,1.0,0.1590909090909091,0.4931506849315069,18.0,7.0,37.0,0.0,0.5416666666666666,0.3363095238095238,0.25,0.75,0.08333333333333333,0.3333333333333333,3.0,1.0,11.0,1.0
1,5,0.19679778069257736,0.1895372848957777,0.20958604663610458,0.9179292929292929,0.8126890309829543,0.3387096774193548,1.0,0.06818181818181818,0.4675324675324675,18.0,3.0,41.0,0.0,0.5833333333333333,0.3946428571428572,0.25,0.75,0.08333333333333333,0.3333333333333333,3.0,1.0,11.0,1.0
1,6,0.19161457009613514,0.1928975824266672,0.21396611630916595,0.9267676767676768,0.8378704235730381,0.3225806451612903,1.0,0.045454545454545456,0.4615384615384615,18.0,2.0,42.0,0.0,0.6458333333333333,0.5488095238095239,0.3125,1.0,0.08333333333333333,0.4210526315789474,4.0,1.0,11.0,0.0
1,7,0.18298457190394402,0.18787953816354275,0.21034231781959534,0.9318181818181819,0.8462025865020693,0.3548387096774194,1.0,0.09090909090909091,0.4736842105263158,18.0,4.0,40.0,0.0,0.6875,0.5916666666666667,0.25,0.75,0.08333333333333333,0.3333333333333333,3.0,1.0,11.0,1.0
1,8,0.17082810029387474,0.1745490450412035,0.19955670833587646,0.9318181818181819,0.8490563350079916,0.5,1.0,0.29545454545454547,0.5373134328358209,18.0,13.0,31.0,0.0,0.6875,0.5952380952380951,0.3125,0.75,0.16666666666666666,0.3529411764705882,3.0,2.0,10.0,1.0
1,9,0.17324651032686234,0.16847472079098225,0.19306126981973648,0.9381313131313131,0.8651843750679202,0.532258064516129,1.0,0.3409090909090909,0.5538461538461539,18.0,15.0,29.0,0.0,0.7083333333333333,0.5964285714285714,0.375,0.75,0.25,0.375,3.0,3.0,9.0,1.0
1,10,0.15875198133289814,0.15155384503304958,0.1780671402812004,0.9482323232323232,0.8891373511042295,0.6774193548387096,1.0,0.5454545454545454,0.6428571428571429,18.0,24.0,20.0,0.0,0.75,0.7214285714285714,0.5625,0.75,0.5,0.46153846153846156,3.0,6.0,6.0,1.0
1,11,0.14676899835467339,0.1410053325816989,0.16893890127539635,0.9520202020202021,0.9081249551102493,0.7096774193548387,1.0,0.5909090909090909,0.6666666666666666,18.0,26.0,18.0,0.0,0.6458333333333333,0.6464285714285714,0.6875,0.5,0.75,0.4444444444444445,2.0,9.0,3.0,2.0
1,12,0.1410540323704481,0.137323928065598,0.16485105082392693,0.9633838383838385,0.9339880840093067,0.6935483870967742,1.0,0.5681818181818182,0.6545454545454547,18.0,25.0,19.0,0.0,0.7083333333333334,0.6706730769230769,0.625,0.5,0.6666666666666666,0.4,2.0,8.0,4.0,2.0
1,13,0.12839408591389656,0.13007772713899612,0.165688194334507,0.9797979797979798,0.9552429052429054,0.7258064516129032,1.0,0.6136363636363636,0.6792452830188679,18.0,27.0,17.0,0.0,0.7708333333333334,0.7083333333333334,0.6875,0.75,0.6666666666666666,0.5454545454545454,3.0,8.0,4.0,1.0
1,14,0.1179195586591959,0.11032985430210829,0.15741586312651634,0.976010101010101,0.9412461076934764,0.8225806451612904,1.0,0.75,0.7659574468085107,18.0,33.0,11.0,0.0,0.8125,0.6666666666666666,0.75,0.5,0.8333333333333334,0.5,2.0,10.0,2.0,2.0
1,15,0.14311551116406918,0.11484215222299099,0.16572235152125359,0.9974747474747475,0.9939896036387266,0.7741935483870968,1.0,0.6818181818181818,0.72,18.0,30.0,14.0,0.0,0.7500000000000001,0.6147186147186147,0.6875,0.75,0.6666666666666666,0.5454545454545454,3.0,8.0,4.0,1.0
1,16,0.11903943121433258,0.14990948140621185,0.19146008044481277,1.0,1.0000000000000002,0.5483870967741935,1.0,0.36363636363636365,0.5625,18.0,16.0,28.0,0.0,0.75,0.6904761904761905,0.5625,0.75,0.5,0.46153846153846156,3.0,6.0,6.0,1.0
1,17,0.12121852394193411,0.08577142469584942,0.16601718589663506,1.0,1.0000000000000002,0.967741935483871,1.0,0.9545454545454546,0.9473684210526316,18.0,42.0,2.0,0.0,0.7083333333333334,0.6666666666666666,0.875,0.5,1.0,0.6666666666666666,2.0,12.0,0.0,2.0
1,18,0.0971145574003458,0.09928428567945957,0.15709137171506882,1.0,1.0000000000000002,0.8225806451612904,1.0,0.75,0.7659574468085107,18.0,33.0,11.0,0.0,0.8125,0.7182539682539683,0.625,0.5,0.6666666666666666,0.4,2.0,8.0,4.0,2.0
1,19,0.09289481490850449,0.07471502665430307,0.16140785813331604,1.0,1.0000000000000002,0.9032258064516129,1.0,0.8636363636363636,0.8571428571428571,18.0,38.0,6.0,0.0,0.8541666666666667,0.75,0.6875,0.5,0.75,0.4444444444444445,2.0,9.0,3.0,2.0
1,20,0.08305203961208463,0.06425600498914719,0.1723334826529026,1.0,1.0000000000000002,0.9354838709677419,1.0,0.9090909090909091,0.9,18.0,40.0,4.0,0.0,0.7916666666666666,0.7048611111111112,0.8125,0.5,0.9166666666666666,0.5714285714285715,2.0,11.0,1.0,2.0
