fold,epoch,train_loss,train_eval_loss,val_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn,val_auroc,val_auprc,val_accuracy,val_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn
0,1,0.46830178052186966,0.24265120178461075,0.19584092497825623,0.2753623188405797,0.22339679096187304,0.34375,0.3333333333333333,0.34782608695652173,0.2222222222222222,3.0,8.0,15.0,6.0,0.5833333333333334,0.41666666666666663,0.375,0.5,0.3333333333333333,0.28571428571428575,1.0,2.0,4.0,1.0
0,2,0.32123395055532455,0.22851349785923958,0.19241541624069214,0.3526570048309179,0.24645881454053584,0.375,0.4444444444444444,0.34782608695652173,0.2857142857142857,4.0,8.0,15.0,5.0,0.5833333333333334,0.41666666666666663,0.375,0.5,0.3333333333333333,0.28571428571428575,1.0,2.0,4.0,1.0
0,3,0.2562428116798401,0.2160746157169342,0.18934476375579834,0.43961352657004826,0.29076906490699594,0.375,0.4444444444444444,0.34782608695652173,0.2857142857142857,4.0,8.0,15.0,5.0,0.5833333333333334,0.41666666666666663,0.375,0.5,0.3333333333333333,0.28571428571428575,1.0,2.0,4.0,1.0
0,4,0.26414811611175537,0.20524843409657478,0.1859102100133896,0.5120772946859904,0.3416144561618754,0.40625,0.4444444444444444,0.391304347826087,0.2962962962962963,4.0,9.0,14.0,5.0,0.5833333333333334,0.41666666666666663,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0
0,5,0.26057616993784904,0.1962929107248783,0.18373489379882812,0.5893719806763285,0.3835687795832723,0.46875,0.5555555555555556,0.43478260869565216,0.3703703703703704,5.0,10.0,13.0,4.0,0.75,0.7,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0
0,6,0.2540280893445015,0.18908695876598358,0.1821712702512741,0.6618357487922706,0.42916935241496645,0.59375,1.0,0.43478260869565216,0.5806451612903226,9.0,10.0,13.0,0.0,0.75,0.7,0.375,1.0,0.16666666666666666,0.4444444444444445,2.0,1.0,5.0,0.0
0,7,0.24419257789850235,0.18232229724526405,0.1813206821680069,0.7681159420289855,0.5615468409586057,0.59375,1.0,0.43478260869565216,0.5806451612903226,9.0,10.0,13.0,0.0,0.8333333333333334,0.75,0.375,1.0,0.16666666666666666,0.4444444444444445,2.0,1.0,5.0,0.0
0,8,0.21270913258194923,0.17558201774954796,0.18016231060028076,0.855072463768116,0.7026204732087086,0.625,1.0,0.4782608695652174,0.6,9.0,11.0,12.0,0.0,0.8333333333333334,0.75,0.375,1.0,0.16666666666666666,0.4444444444444445,2.0,1.0,5.0,0.0
0,9,0.18497484549880028,0.16898005083203316,0.17894259095191956,0.8695652173913043,0.7166364499697833,0.625,1.0,0.4782608695652174,0.6,9.0,11.0,12.0,0.0,0.9166666666666667,0.8333333333333333,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0
0,10,0.1742398738861084,0.16282368823885918,0.17755308747291565,0.8888888888888888,0.7620650953984286,0.59375,1.0,0.43478260869565216,0.5806451612903226,9.0,10.0,13.0,0.0,0.9166666666666667,0.8333333333333333,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0
