fold,epoch,train_loss,train_eval_loss,val_loss,train_active_rank_weight,train_active_hard_negative_weight,train_active_ssc_negative_weight,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn,train_loss_cls,train_loss_cls_raw,train_loss_cls_biomarker,train_loss_biomarker_aux,train_loss_biomarker_aux_ssc,train_loss_biomarker_aux_vdj,train_loss_rank,train_loss_hard_neg,train_loss_ssc_neg,train_eval_loss_cls,train_eval_loss_cls_raw,train_eval_loss_cls_biomarker,train_eval_loss_biomarker_aux,train_eval_loss_biomarker_aux_ssc,train_eval_loss_biomarker_aux_vdj,train_eval_loss_rank,train_eval_loss_hard_neg,train_eval_loss_ssc_neg,val_auroc,val_auprc,val_accuracy,val_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn,val_loss_cls,val_loss_cls_raw,val_loss_cls_biomarker,val_loss_biomarker_aux,val_loss_biomarker_aux_ssc,val_loss_biomarker_aux_vdj,val_loss_rank,val_loss_hard_neg,val_loss_ssc_neg
1,1,0.29421963542699814,0.2727553993463516,0.2930041253566742,0.0,0.0,0.0,0.8309178743961353,0.598394452316021,0.34375,1.0,0.08695652173913043,0.4615384615384615,9.0,2.0,21.0,0.0,0.21245889365673065,0.0,0.0,0.40880370140075684,0.3855823874473572,0.4320250079035759,0.0,0.0,0.0,0.19268406555056572,0.0,0.0,0.4003566652536392,0.38949599862098694,0.4112173318862915,0.0,0.0,0.0,0.16666666666666669,0.225,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.20400221645832062,0.0,0.0,0.4450094997882843,0.5437683463096619,0.34625065326690674,0.0,0.0,0.0
1,2,0.29730847477912903,0.2749609053134918,0.3006362318992615,0.0,0.0,0.0,0.8405797101449275,0.6754901960784314,0.3125,1.0,0.043478260869565216,0.45000000000000007,9.0,1.0,22.0,0.0,0.20766353234648705,0.0,0.0,0.4482247158885002,0.4475134536623955,0.44893598556518555,0.0,0.0,0.0,0.19581571966409683,0.0,0.0,0.39572589844465256,0.38439105451107025,0.40706073492765427,0.0,0.0,0.0,0.0,0.19642857142857142,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.21191582083702087,0.0,0.0,0.44360196590423584,0.5426197052001953,0.34458425641059875,0.0,0.0,0.0
1,3,0.28789375722408295,0.2968757823109627,0.3248189389705658,0.0,0.0,0.0,0.888888888888889,0.7350427350427351,0.28125,1.0,0.0,0.43902439024390244,9.0,0.0,23.0,0.0,0.20391682907938957,0.0,0.0,0.4198846220970154,0.37223582714796066,0.4675334170460701,0.0,0.0,0.0,0.21839302778244019,0.0,0.0,0.39241375029087067,0.3808008059859276,0.40402669459581375,0.0,0.0,0.0,0.33333333333333337,0.26666666666666666,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.23641633987426758,0.0,0.0,0.4420129358768463,0.5419051647186279,0.3421207070350647,0.0,0.0,0.0
1,4,0.30696844309568405,0.3013954311609268,0.3288968801498413,0.0,0.0,0.0,0.9130434782608696,0.8295907251789605,0.28125,1.0,0.0,0.43902439024390244,9.0,0.0,23.0,0.0,0.22444189339876175,0.0,0.0,0.4126327186822891,0.40325556695461273,0.4220098927617073,0.0,0.0,0.0,0.2234898917376995,0.0,0.0,0.38952772319316864,0.37793242931365967,0.401123009622097,0.0,0.0,0.0,0.16666666666666663,0.22619047619047616,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.2407870888710022,0.0,0.0,0.44054895639419556,0.5397080183029175,0.34138986468315125,0.0,0.0,0.0
1,5,0.2891041934490204,0.2687617614865303,0.2992479205131531,0.0,0.0,0.0,0.9227053140096618,0.863205467372134,0.28125,1.0,0.0,0.43902439024390244,9.0,0.0,23.0,0.0,0.20865009725093842,0.0,0.0,0.40227043628692627,0.3958827033638954,0.4086581841111183,0.0,0.0,0.0,0.19134121388196945,0.0,0.0,0.38710271567106247,0.37561385333538055,0.3985915705561638,0.0,0.0,0.0,0.16666666666666663,0.22619047619047616,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.21135976910591125,0.0,0.0,0.4394407868385315,0.537424623966217,0.34145691990852356,0.0,0.0,0.0
1,6,0.27457232028245926,0.25089484453201294,0.28700196743011475,0.0,0.0,0.0,0.932367149758454,0.8794871794871795,0.5625,1.0,0.391304347826087,0.5625,9.0,9.0,14.0,0.0,0.19661003723740578,0.0,0.0,0.3898113891482353,0.4088992103934288,0.37072358280420303,0.0,0.0,0.0,0.1738864779472351,0.0,0.0,0.38504184037446976,0.37367504090070724,0.39640864729881287,0.0,0.0,0.0,0.3333333333333333,0.26785714285714285,0.375,0.5,0.3333333333333333,0.28571428571428575,1.0,2.0,4.0,1.0,0.19938082993030548,0.0,0.0,0.4381057024002075,0.5353095531463623,0.34090182185173035,0.0,0.0,0.0
1,7,0.28026439249515533,0.24574698135256767,0.28534603118896484,0.0,0.0,0.0,0.932367149758454,0.8781144781144781,0.625,1.0,0.4782608695652174,0.6,9.0,11.0,12.0,0.0,0.19125531241297722,0.0,0.0,0.44504541903734207,0.5059875994920731,0.3841032460331917,0.0,0.0,0.0,0.16916989162564278,0.0,0.0,0.3828854188323021,0.3712378516793251,0.3945329859852791,0.0,0.0,0.0,0.3333333333333333,0.26785714285714285,0.375,0.0,0.5,0.0,0.0,3.0,3.0,2.0,0.1980377435684204,0.0,0.0,0.43654143810272217,0.5327064394950867,0.34037646651268005,0.0,0.0,0.0
1,8,0.2554940916597843,0.24681821465492249,0.2875272035598755,0.0,0.0,0.0,0.9227053140096618,0.870436507936508,0.46875,1.0,0.2608695652173913,0.5142857142857142,9.0,6.0,17.0,0.0,0.18247441202402115,0.0,0.0,0.36509838700294495,0.36043456569314003,0.36976219713687897,0.0,0.0,0.0,0.1707013063132763,0.0,0.0,0.3805845305323601,0.3687298819422722,0.39243917167186737,0.0,0.0,0.0,0.4166666666666667,0.29166666666666663,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0,0.20056061446666718,0.0,0.0,0.43483293056488037,0.5303758382797241,0.339290052652359,0.0,0.0,0.0
1,9,0.2447262778878212,0.2556631714105606,0.2983338534832001,0.0,0.0,0.0,0.9371980676328502,0.9049773755656109,0.3125,1.0,0.043478260869565216,0.45000000000000007,9.0,1.0,22.0,0.0,0.17512434348464012,0.0,0.0,0.3480096533894539,0.3556540086865425,0.34036528319120407,0.0,0.0,0.0,0.17996292561292648,0.0,0.0,0.37850122153759,0.36641068756580353,0.3905917629599571,0.0,0.0,0.0,0.4166666666666667,0.29166666666666663,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.21171346306800842,0.0,0.0,0.43310195207595825,0.5281634330749512,0.33804044127464294,0.0,0.0,0.0
1,10,0.23954397812485695,0.26774877682328224,0.30865538120269775,0.0,0.0,0.0,0.9420289855072465,0.9141414141414141,0.3125,1.0,0.043478260869565216,0.45000000000000007,9.0,1.0,22.0,0.0,0.1717446967959404,0.0,0.0,0.33899638056755066,0.31460999697446823,0.3633827641606331,0.0,0.0,0.0,0.1923544444143772,0.0,0.0,0.37697167694568634,0.3644728511571884,0.38947051018476486,0.0,0.0,0.0,0.5,0.325,0.25,1.0,0.0,0.4,2.0,0.0,6.0,0.0,0.22217237949371338,0.0,0.0,0.43241503834724426,0.5272295475006104,0.3376005291938782,0.0,0.0,0.0
