fold,threshold_strategy,threshold,full_oof_threshold,full_oof_accuracy_score,bootstrap_threshold_mean,bootstrap_threshold_std,bootstrap_threshold_median,bootstrap_threshold_q65,bootstrap_threshold_q75,oof_auroc,oof_auprc,oof_accuracy,oof_sensitivity,oof_specificity,oof_f1,oof_tp,oof_tn,oof_fp,oof_fn
0,bootstrap_q65_accuracy,0.5199999999999999,0.49999999999999994,0.75,0.5155461587396263,0.12254637187722187,0.49999999999999994,0.5199999999999999,0.5199999999999999,0.6811594202898551,0.5224009096816113,0.75,0.2222222222222222,0.9565217391304348,0.3333333333333333,2.0,22.0,1.0,7.0
1,bootstrap_q65_accuracy,0.7499999999999999,0.7749999999999999,0.78125,0.5599188816916942,0.22127409087551206,0.6649999999999999,0.7499999999999999,0.7749999999999999,0.7536231884057971,0.5933350600017266,0.75,0.2222222222222222,0.9565217391304348,0.3333333333333333,2.0,22.0,1.0,7.0
2,bootstrap_q65_accuracy,0.725,0.49999999999999994,0.84375,0.5775033825474977,0.1222168990516288,0.49999999999999994,0.725,0.73,0.8541666666666667,0.7267657780815675,0.8125,0.375,0.9583333333333334,0.5,3.0,23.0,1.0,5.0
3,bootstrap_q65_accuracy,0.5449999999999999,0.5449999999999999,0.78125,0.46795322010755536,0.12641173659441365,0.49999999999999994,0.5449999999999999,0.5449999999999999,0.7922705314009661,0.5538159371492705,0.78125,0.3333333333333333,0.9565217391304348,0.46153846153846156,3.0,22.0,1.0,6.0
4,bootstrap_q65_accuracy,0.585,0.585,0.71875,0.5266384891551733,0.16984301703759389,0.49999999999999994,0.585,0.585,0.7246376811594203,0.45566443163416737,0.71875,0.2222222222222222,0.9130434782608695,0.3076923076923077,2.0,21.0,2.0,7.0
