fold,threshold_strategy,threshold,full_oof_threshold,full_oof_accuracy_score,bootstrap_threshold_mean,bootstrap_threshold_std,bootstrap_threshold_median,bootstrap_threshold_q65,bootstrap_threshold_q75,oof_auroc,oof_auprc,oof_accuracy,oof_sensitivity,oof_specificity,oof_f1,oof_tp,oof_tn,oof_fp,oof_fn
0,bootstrap_q65_accuracy,0.49999999999999994,0.49999999999999994,0.84375,0.42101696749372003,0.08742072754243686,0.4626096449043918,0.49999999999999994,0.49999999999999994,0.9033816425120773,0.8085589791472144,0.84375,0.4444444444444444,1.0,0.6153846153846154,4.0,23.0,0.0,5.0
1,bootstrap_q65_accuracy,0.4777289996311679,0.46926587598828823,0.84375,0.4786553720223546,0.10740140536356767,0.46926587598828823,0.4777289996311679,0.5249999999999999,0.8599033816425121,0.729800809212574,0.8125,0.5555555555555556,0.9130434782608695,0.625,5.0,21.0,2.0,4.0
2,bootstrap_q65_accuracy,0.46159503258258583,0.46159503258258583,1.0,0.4749599612438459,0.018302822869059373,0.46159503258258583,0.46159503258258583,0.49999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,8.0,24.0,0.0,0.0
3,bootstrap_q65_accuracy,0.49999999999999994,0.49999999999999994,0.90625,0.45643032200339023,0.08126366989548674,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.927536231884058,0.7391414141414141,0.90625,0.7777777777777778,0.9565217391304348,0.8235294117647058,7.0,22.0,1.0,2.0
4,bootstrap_q65_accuracy,0.4600167319824369,0.4600167319824369,0.9375,0.45126122144280384,0.03545629370675077,0.4600167319824369,0.4600167319824369,0.46963529267721627,0.9661835748792271,0.9380952380952381,0.9375,0.7777777777777778,1.0,0.875,7.0,23.0,0.0,2.0
