repeat_count,n_subsets,ranking_auroc_median,ranking_auroc_min,ranking_auroc_max,accuracy_median,accuracy_min,accuracy_max,fraction_accuracy_ge_0875,balanced_accuracy_median
5,252,0.884012539184953,0.786833855799373,0.9686520376175548,0.775,0.7,0.85,0.0,0.7429467084639498
6,210,0.8934169278996865,0.8119122257053292,0.9592476489028213,0.775,0.7,0.85,0.0,0.7601880877742947
7,120,0.8996865203761755,0.8275862068965517,0.9498432601880877,0.8,0.725,0.85,0.0,0.7664576802507836
8,45,0.9059561128526645,0.8557993730407524,0.9498432601880877,0.8,0.75,0.85,0.0,0.7774294670846396
9,10,0.9122257053291536,0.8996865203761755,0.9216300940438872,0.825,0.75,0.875,0.1,0.8087774294670846
10,1,0.9247648902821317,0.9247648902821317,0.9247648902821317,0.875,0.875,0.875,1.0,0.8573667711598747
