fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5848592519760132,0.7234042553191489,0.7234042553191489,0.6717171717171717,0.2,-0.16666666666666663
0,youden,0.5848592519760132,0.6717171717171717,0.7234042553191489,0.6717171717171717,0.2,-0.16666666666666663
1,f1,0.58,1.0,1.0,1.0,0.4,0.25
1,youden,0.58,1.0,1.0,1.0,0.4,0.25
2,f1,0.6123331785202026,0.6285714285714286,0.6285714285714286,0.5135869565217392,0.4615384615384615,0.10000000000000009
2,youden,0.6123331785202026,0.5135869565217392,0.6285714285714286,0.5135869565217392,0.4615384615384615,0.10000000000000009
3,f1,0.58,0.972972972972973,0.972972972972973,0.9777777777777779,0.3333333333333333,0.15909090909090917
3,youden,0.58,0.9777777777777779,0.972972972972973,0.9777777777777779,0.3333333333333333,0.15909090909090917
4,f1,0.61,0.9444444444444444,0.9444444444444444,0.922222222222222,0.5714285714285715,0.40909090909090917
4,youden,0.6,0.9333333333333333,0.923076923076923,0.9333333333333333,0.5,0.31818181818181834
