fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.6088213324546814,0.631578947368421,0.631578947368421,0.49275362318840576,0.5,0.3333333333333335
0,youden,0.6088213324546814,0.49275362318840576,0.631578947368421,0.49275362318840576,0.5,0.3333333333333335
1,f1,0.5499999999999999,0.6,0.6,0.4492753623188406,0.5,0.3333333333333335
1,youden,0.5499999999999999,0.4492753623188406,0.6,0.4492753623188406,0.5,0.3333333333333335
2,f1,0.6649999999999999,0.9411764705882353,0.9411764705882353,0.9583333333333335,0.5,0.06666666666666665
2,youden,0.6649999999999999,0.9583333333333335,0.9411764705882353,0.9583333333333335,0.5,0.06666666666666665
3,f1,0.6,0.823529411764706,0.823529411764706,0.7342995169082127,0.0,0.0
3,youden,0.57,0.8260869565217392,0.8181818181818181,0.8260869565217392,0.28571428571428575,-0.16666666666666674
4,f1,0.5599999999999999,1.0,1.0,1.0,0.0,-0.16666666666666663
4,youden,0.5599999999999999,1.0,1.0,1.0,0.0,-0.16666666666666663
