fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,62,16,1,cuda,1.4140085128065871,1,cb_focal,1.5,0.585991487193413,youden,0.5848592519760132,0.6717171717171717,0.999,0.5833333333333333,0.4797619047619047,0.5,0.25,0.5833333333333334,0.2,1.0,7.0,5.0,3.0,0.21806380152702332
1,62,16,19,cuda,1.4140085128065871,1,cb_focal,1.5,0.585991487193413,youden,0.58,1.0,0.999,0.8541666666666667,0.75,0.8125,0.25,1.0,0.4,1.0,12.0,0.0,3.0,0.15960895642638206
2,62,16,1,cuda,1.4781331648844378,1,cb_focal,1.5,0.5218668351155621,youden,0.6123331785202026,0.5135869565217392,0.999,0.5666666666666667,0.578042328042328,0.5625,0.5,0.6,0.4615384615384615,3.0,6.0,4.0,3.0,0.21108954399824142
3,63,15,25,cuda,1.4230716728853294,1,cb_focal,1.5,0.5769283271146705,youden,0.58,0.9777777777777779,0.999,0.5,0.475,0.7333333333333333,0.25,0.9090909090909091,0.3333333333333333,1.0,10.0,1.0,3.0,0.3049192614853382
4,63,15,13,cuda,1.4230716728853294,1,cb_focal,1.5,0.5769283271146705,youden,0.6,0.9333333333333333,0.999,0.9090909090909091,0.8166666666666667,0.7333333333333333,0.5,0.8181818181818182,0.5,2.0,9.0,2.0,2.0,0.17487090080976486
