fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,62,16,1,cuda,1.4140085128065871,1,cb_focal,2.0,0.585991487193413,f1,0.5794455409049988,0.7368421052631577,0.999,0.5625,0.3547619047619047,0.625,0.25,0.75,0.25,1.0,9.0,3.0,3.0,0.1547737717628479
1,62,16,19,cuda,1.4140085128065871,1,cb_focal,2.0,0.585991487193413,f1,0.5599999999999999,1.0,0.999,0.8333333333333334,0.7321428571428572,0.875,0.5,1.0,0.6666666666666666,2.0,12.0,0.0,2.0,0.11412965692579746
2,62,16,1,cuda,1.4781331648844378,1,cb_focal,2.0,0.5218668351155621,f1,0.6072980761528015,0.6470588235294118,0.999,0.5666666666666667,0.578042328042328,0.625,0.5,0.7,0.5,3.0,7.0,3.0,3.0,0.15269242972135544
3,63,15,25,cuda,1.4230716728853294,1,cb_focal,2.0,0.5769283271146705,f1,0.58,1.0,0.999,0.5681818181818181,0.5104166666666666,0.7333333333333333,0.25,0.9090909090909091,0.3333333333333333,1.0,10.0,1.0,3.0,0.22436217963695526
4,63,15,18,cuda,1.4230716728853294,1,cb_focal,2.0,0.5769283271146705,f1,0.575,0.9714285714285714,0.999,0.8863636363636364,0.7928571428571428,0.7333333333333333,0.0,1.0,0.0,0.0,11.0,0.0,4.0,0.10690058395266533
