fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.6098591685295105,0.7058823529411765,0.7058823529411765,0.5797101449275361,0.5,0.3333333333333335
0,youden,0.6098591685295105,0.5797101449275361,0.7058823529411765,0.5797101449275361,0.5,0.3333333333333335
1,f1,0.6440841555595398,0.8750000000000001,0.8750000000000001,0.7777777777777777,0.0,0.0
1,youden,0.6440841555595398,0.7777777777777777,0.8750000000000001,0.7777777777777777,0.0,0.0
2,f1,0.5643260478973389,0.56,0.56,0.4583333333333335,0.7499999999999999,0.6000000000000001
2,youden,0.5643260478973389,0.4583333333333335,0.56,0.4583333333333335,0.7499999999999999,0.6000000000000001
3,f1,0.715,1.0,1.0,1.0,0.0,-0.16666666666666663
3,youden,0.715,1.0,1.0,1.0,0.0,-0.16666666666666663
4,f1,0.57,0.9473684210526316,0.9473684210526316,0.9565217391304348,0.0,-0.33333333333333337
4,youden,0.57,0.9565217391304348,0.9473684210526316,0.9565217391304348,0.0,-0.33333333333333337
