fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,loss_rank_weight,loss_rank_margin,loss_hard_negative_weight,loss_hard_negative_margin,loss_hard_negative_topk,loss_hard_negative_warmup_epochs,loss_ssc_negative_weight,loss_ssc_negative_margin,loss_ssc_negative_warmup_epochs,loss_raw_cls_weight,loss_biomarker_cls_weight,loss_biomarker_aux_weight,loss_biomarker_aux_delta,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,32,8,7,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,0.2,0.25,0.05,0.0,2.0,8.0,0.03,0.0,8.0,0.5,0.35,0.2,1.0,f1,0.6499999999999999,1.0,0.995,0.5,0.3333333333333333,0.625,0.5,0.6666666666666666,0.4,1.0,4.0,2.0,1.0,0.5262148380279541
1,32,8,10,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,0.2,0.25,0.05,0.0,2.0,8.0,0.03,0.0,8.0,0.5,0.35,0.2,1.0,f1,0.6449999999999999,1.0,0.995,1.0,1.0,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.43694016337394714
2,32,8,1,cuda,1.4850171093507545,1,cb_focal,1.5,0.5149828906492455,0.2,0.25,0.05,0.0,2.0,8.0,0.03,0.0,8.0,0.5,0.35,0.2,1.0,f1,0.5887646675109863,0.75,0.995,0.9333333333333333,0.9166666666666666,0.75,0.3333333333333333,1.0,0.5,1.0,5.0,0.0,2.0,0.5260297656059265
3,32,8,8,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,0.2,0.25,0.05,0.0,2.0,8.0,0.03,0.0,8.0,0.5,0.35,0.2,1.0,f1,0.58,0.9,0.995,0.5833333333333334,0.41666666666666663,0.625,0.0,0.8333333333333334,0.0,0.0,5.0,1.0,2.0,0.5164904594421387
4,32,8,2,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,0.2,0.25,0.05,0.0,2.0,8.0,0.03,0.0,8.0,0.5,0.35,0.2,1.0,f1,0.695,0.7368421052631577,0.995,0.6666666666666667,0.41666666666666663,0.5,0.0,0.6666666666666666,0.0,0.0,4.0,2.0,2.0,0.6044737100601196
