fold,n_train,n_val,inner_splits,inner_best_epoch_mean,inner_best_epoch_median,final_epochs,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,calibration_method,calibration_coef,calibration_intercept,threshold_strategy,threshold,train_threshold_objective,oof_auroc_uncalibrated,oof_auprc_uncalibrated,oof_auroc_calibrated,oof_auprc_calibrated,val_auroc_uncalibrated,val_auprc_uncalibrated,val_loss,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,32,8,4,20.5,21.0,21,cuda,1.0,1,bce,0.0,1.0,platt,1.4431416862028263,-0.7948898508988483,balanced_accuracy,0.241757705481536,0.7826086956521738,0.8454106280193237,0.6739278752436647,0.8454106280193237,0.6739278752436647,0.9166666666666667,0.8333333333333333,0.5569264888763428,0.9166666666666667,0.8333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
1,32,8,4,19.75,16.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.5480022449977726,-0.9583492853560148,balanced_accuracy,0.23516631461139975,0.8043478260869565,0.8647342995169083,0.7058922558922558,0.8647342995169083,0.7058922558922558,1.0,1.0,0.5969508290290833,1.0,1.0,0.625,1.0,0.5,0.5714285714285715,2.0,3.0,3.0,0.0
2,32,8,4,6.75,6.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.2129127001808175,-0.8977500187939246,balanced_accuracy,0.25070168769441953,0.8125,0.8229166666666666,0.513631221719457,0.8229166666666666,0.513631221719457,0.8666666666666667,0.8055555555555556,0.5970755219459534,0.8666666666666667,0.8055555555555556,0.75,1.0,0.6,0.7499999999999999,3.0,3.0,2.0,0.0
3,32,8,4,15.0,17.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.2139551832025728,-0.9629765207099836,balanced_accuracy,0.27977889612885937,0.7705314009661836,0.7777777777777777,0.5922364672364673,0.7777777777777777,0.5922364672364673,1.0,1.0,0.5228868722915649,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,32,8,4,19.25,21.0,21,cuda,1.0,1,bce,0.0,1.0,platt,1.0488982692977937,-0.8910411596068682,balanced_accuracy,0.27581112228418136,0.748792270531401,0.7536231884057971,0.6467676386794035,0.7536231884057971,0.6467676386794035,1.0,1.0,0.5236202478408813,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
