fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,32,8,17,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.62,0.9130434782608696,0.995,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0,0.17139464616775513
1,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.5117930769920349,0.36231884057971,0.995,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0,0.15290047228336334
2,32,8,14,cuda,1.4850171093507545,1,cb_focal,1.5,0.5149828906492455,youden,0.625,0.9583333333333335,0.995,0.9333333333333333,0.9166666666666666,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0,0.14697176218032837
3,32,8,14,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.5936107635498047,0.9130434782608696,0.995,0.8333333333333334,0.5833333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0,0.1923505663871765
4,32,8,5,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.59,0.758454106280193,0.995,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.1376005858182907
