fold,n_train,n_val,ensemble_size,inner_splits,chosen_k,selected_feature_count,inner_best_epoch_mean,inner_best_epoch_median,final_epochs,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,calibration_method,calibration_coef,calibration_intercept,threshold_strategy,threshold,train_threshold_objective,oof_auroc_uncalibrated,oof_auprc_uncalibrated,oof_auroc_calibrated,oof_auprc_calibrated,val_auroc_uncalibrated,val_auprc_uncalibrated,val_loss,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,32,8,10,4,30,30,13.85,10.0,20,cuda,1.0,1,bce,0.0,1.0,platt,0.7573627264782434,-0.9191735508182455,accuracy,0.3610698754898685,0.75,0.7053140096618357,0.5072018032802347,0.7053140096618357,0.5072018032802347,0.08333333333333331,0.20833333333333331,0.772539347410202,0.08333333333333331,0.20833333333333331,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
1,32,8,10,4,30,30,13.625,9.5,20,cuda,1.0,1,bce,0.0,1.0,platt,0.7757876110803463,-0.9178024754711118,accuracy,0.35121085355704607,0.75,0.6859903381642511,0.46063627730294393,0.6859903381642511,0.46063627730294393,0.33333333333333337,0.29166666666666663,0.7702482461929321,0.33333333333333337,0.29166666666666663,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
2,32,8,10,4,30,30,18.375,18.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.2908052508955064,-1.0199820336895684,accuracy,0.2747675302171461,0.8125,0.8229166666666667,0.5693394024276377,0.8229166666666667,0.5693394024276377,0.7333333333333333,0.7222222222222223,0.7002384424209595,0.7333333333333333,0.7222222222222223,0.75,0.6666666666666666,0.8,0.6666666666666666,2.0,4.0,1.0,1.0
3,32,8,10,4,20,20,18.825,18.0,20,cuda,1.0,1,bce,0.0,1.0,platt,0.6307445850493143,-0.9215407037699849,accuracy,0.320822457545203,0.8125,0.6376811594202898,0.5920174820533244,0.6376811594202898,0.5920174820533244,0.33333333333333337,0.29166666666666663,0.7540720760822296,0.33333333333333337,0.29166666666666663,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
4,32,8,10,4,20,20,15.975,14.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.0774463712898996,-0.8522932100946127,accuracy,0.2916618372093612,0.8125,0.7922705314009661,0.6464566297899631,0.7922705314009661,0.6464566297899631,0.16666666666666663,0.22619047619047616,0.8084553718566895,0.16666666666666663,0.22619047619047616,0.25,0.5,0.16666666666666666,0.25,1.0,1.0,5.0,1.0
