fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.6038936972618103,0.47342995169082114,0.995,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0,0.21970948576927185
1,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.5277509689331055,0.30434782608695654,0.995,0.75,0.7,0.5,1.0,0.3333333333333333,0.5,2.0,2.0,4.0,0.0,0.19237792491912842
2,32,8,7,cuda,1.4850171093507545,1,cb_focal,1.5,0.5149828906492455,youden,0.6,1.0,0.995,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0,0.19518104195594788
3,32,8,3,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.6669184565544128,0.6086956521739131,0.995,0.5833333333333333,0.6428571428571428,0.5,0.5,0.5,0.3333333333333333,1.0,3.0,3.0,1.0,0.29413414001464844
4,32,8,14,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.6,0.9565217391304348,0.995,0.6666666666666667,0.6666666666666666,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.20766612887382507
