fold,n_train,n_val,ensemble_size,inner_splits,chosen_k,selected_feature_count,inner_best_epoch_mean,inner_best_epoch_median,final_epochs,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,calibration_method,calibration_coef,calibration_intercept,threshold_strategy,threshold,train_threshold_objective,oof_auroc_uncalibrated,oof_auprc_uncalibrated,oof_auroc_calibrated,oof_auprc_calibrated,val_auroc_uncalibrated,val_auprc_uncalibrated,val_loss,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,32,8,10,4,20,20,12.6,12.0,20,cuda,1.0,1,bce,0.0,1.0,platt,1.6816648736574626,-0.9047233801978751,balanced_accuracy,0.28848266473404754,0.8695652173913043,0.9178743961352657,0.8256613756613758,0.9178743961352657,0.8256613756613758,0.9166666666666667,0.8333333333333333,0.5453522562980652,0.9166666666666667,0.8333333333333333,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0
1,32,8,10,4,30,30,13.825,15.0,20,cuda,1.0,1,bce,0.0,1.0,platt,1.7812798739057947,-0.8105906689510559,balanced_accuracy,0.3244506908373027,0.857487922705314,0.9178743961352657,0.8439814814814814,0.9178743961352657,0.8439814814814814,0.7500000000000001,0.5,0.6626538336277008,0.7500000000000001,0.5,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0
2,32,8,10,4,40,40,13.1,13.5,20,cuda,1.0,1,bce,0.0,1.0,platt,2.008579687375003,-1.0000994592602217,balanced_accuracy,0.32471615233748014,0.9791666666666667,0.9635416666666667,0.8338789682539682,0.9635416666666667,0.8338789682539682,0.5333333333333333,0.4666666666666667,0.6863311290740967,0.5333333333333333,0.4666666666666667,0.625,0.3333333333333333,0.8,0.4,1.0,4.0,1.0,2.0
3,32,8,10,4,20,20,18.9,20.0,20,cuda,1.0,1,bce,0.0,1.0,platt,1.4899849616102538,-0.8034091645564952,balanced_accuracy,0.270072922473946,0.8260869565217391,0.821256038647343,0.6405862111744465,0.821256038647343,0.6405862111744465,1.0,1.0,0.528697082400322,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,32,8,10,4,40,40,13.075,11.5,20,cuda,1.0,1,bce,0.0,1.0,platt,2.1483265543987717,-0.6765576120562722,balanced_accuracy,0.3567766062936082,0.9782608695652174,0.9855072463768116,0.9626543209876544,0.9855072463768116,0.9626543209876544,0.0,0.19642857142857142,0.7729657471179963,0.0,0.19642857142857142,0.375,0.0,0.5,0.0,0.0,3.0,3.0,2.0
