fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5808969140052795,0.7368421052631577,0.7368421052631577,0.6414141414141414,0.25,0.0
0,youden,0.5742917060852051,0.6717171717171717,0.7234042553191489,0.6717171717171717,0.2,-0.16666666666666663
1,f1,0.5549999999999999,0.8095238095238096,0.8095238095238096,0.7853535353535355,0.6666666666666666,0.5
1,youden,0.5549999999999999,0.7853535353535355,0.8095238095238096,0.7853535353535355,0.6666666666666666,0.5
2,f1,0.578184187412262,0.48275862068965514,0.48275862068965514,0.2663043478260869,0.6,0.19999999999999996
2,youden,0.6467000842094421,0.2690217391304348,0.43478260869565216,0.2690217391304348,0.3636363636363636,0.033333333333333215
3,f1,0.5626737475395203,0.8108108108108109,0.8108108108108109,0.7444444444444445,0.28571428571428575,0.06818181818181834
3,youden,0.5626737475395203,0.7444444444444445,0.8108108108108109,0.7444444444444445,0.28571428571428575,0.06818181818181834
4,f1,0.5249999999999999,0.9473684210526316,0.9473684210526316,0.9555555555555557,0.5,0.31818181818181834
4,youden,0.5249999999999999,0.9555555555555557,0.9473684210526316,0.9555555555555557,0.5,0.31818181818181834
