fold,n_train,n_val,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,62,16,0.3333333333333333,0.22912087912087914,0.5625,0.0,0.75,0.0,0.0,9.0,3.0,4.0
1,62,16,0.27083333333333337,0.24107142857142858,0.6875,0.25,0.8333333333333334,0.28571428571428575,1.0,10.0,2.0,3.0
2,62,16,0.5833333333333334,0.48316498316498313,0.5,0.5,0.5,0.42857142857142855,3.0,5.0,5.0,3.0
3,63,15,0.5227272727272727,0.3701048951048951,0.5333333333333333,0.5,0.5454545454545454,0.36363636363636365,2.0,6.0,5.0,2.0
4,63,15,0.5909090909090908,0.6416666666666666,0.6666666666666666,0.5,0.7272727272727273,0.4444444444444445,2.0,8.0,3.0,2.0
