fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.6,0.5603864734299517,0.995,0.9166666666666667,0.8333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,2.0,4.0,2.0,0.0,0.2190684825181961
1,32,8,13,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.59,0.8695652173913042,0.995,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0,0.19151809811592102
2,32,8,6,cuda,1.4850171093507545,1,cb_focal,1.5,0.5149828906492455,youden,0.605,1.0,0.995,0.8,0.8333333333333333,0.75,0.3333333333333333,1.0,0.5,1.0,5.0,0.0,2.0,0.19785040616989136
3,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.5774834156036377,0.42995169082125617,0.995,0.0,0.19642857142857142,0.125,0.0,0.16666666666666666,0.0,0.0,1.0,5.0,2.0,0.23334138095378876
4,32,8,29,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,youden,0.49999999999999994,1.0,0.995,0.5833333333333334,0.41666666666666663,0.625,0.0,0.8333333333333334,0.0,0.0,5.0,1.0,2.0,0.2821829915046692
