fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,62,16,1,cuda,0.7096774193548387,1,focal,2.0,0.29032258064516125,youden,0.5742917060852051,0.6717171717171717,0.5625,0.3547619047619047,0.5,0.25,0.5833333333333334,0.2,1.0,7.0,5.0,3.0,0.07723064720630646
1,62,16,10,cuda,0.7096774193548387,1,focal,2.0,0.29032258064516125,youden,0.5549999999999999,0.7853535353535355,0.75,0.7214285714285714,0.875,0.5,1.0,0.6666666666666666,2.0,12.0,0.0,2.0,0.06100459024310112
2,62,16,2,cuda,0.7419354838709677,1,focal,2.0,0.25806451612903225,youden,0.6467000842094421,0.2690217391304348,0.6333333333333333,0.5066137566137566,0.5625,0.3333333333333333,0.7,0.3636363636363636,2.0,7.0,3.0,4.0,0.0779707171022892
3,63,15,6,cuda,0.7142857142857143,1,focal,2.0,0.2857142857142857,youden,0.5626737475395203,0.7444444444444445,0.40909090909090906,0.44166666666666665,0.6666666666666666,0.25,0.8181818181818182,0.28571428571428575,1.0,9.0,2.0,3.0,0.07462617009878159
4,63,15,10,cuda,0.7142857142857143,1,focal,2.0,0.2857142857142857,youden,0.5249999999999999,0.9555555555555557,0.7500000000000001,0.6,0.7333333333333333,0.5,0.8181818181818182,0.5,2.0,9.0,2.0,2.0,0.061917198821902275
