fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.6399999999999999,0.9411764705882353,0.9411764705882353,0.8888888888888888,0.0,0.0
0,youden,0.62,0.9130434782608696,0.9,0.9130434782608696,0.6666666666666666,0.5
1,f1,0.5117930769920349,0.5454545454545455,0.5454545454545455,0.36231884057971,0.6666666666666666,0.6666666666666665
1,youden,0.5117930769920349,0.36231884057971,0.5454545454545455,0.36231884057971,0.6666666666666666,0.6666666666666665
2,f1,0.625,0.9411764705882353,0.9411764705882353,0.9583333333333335,0.6666666666666666,0.4666666666666668
2,youden,0.625,0.9583333333333335,0.9411764705882353,0.9583333333333335,0.6666666666666666,0.4666666666666668
3,f1,0.5936107635498047,0.9,0.9,0.9130434782608696,0.6666666666666666,0.6666666666666665
3,youden,0.5936107635498047,0.9130434782608696,0.9,0.9130434782608696,0.6666666666666666,0.6666666666666665
4,f1,0.59,0.7999999999999999,0.7999999999999999,0.758454106280193,0.8,0.8333333333333335
4,youden,0.59,0.758454106280193,0.7999999999999999,0.758454106280193,0.8,0.8333333333333335
