fold,n_train,n_val,ensemble_size,inner_splits,chosen_k,selected_feature_count,inner_best_epoch_mean,inner_best_epoch_median,final_epochs,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,calibration_method,calibration_coef,calibration_intercept,threshold_strategy,threshold,train_threshold_objective,oof_auroc_uncalibrated,oof_auprc_uncalibrated,oof_auroc_calibrated,oof_auprc_calibrated,val_auroc_uncalibrated,val_auprc_uncalibrated,val_loss,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,32,8,10,4,20,20,12.65,11.0,20,cuda,1.0,1,bce,0.0,1.0,platt,0.9668382342931724,-0.9073413307403767,accuracy,0.31818647911330095,0.8125,0.7632850241545893,0.6119036908510593,0.7632850241545893,0.6119036908510593,1.0,1.0,0.6564768373966217,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
1,32,8,10,4,30,30,18.2,16.5,20,cuda,1.0,1,bce,0.0,1.0,platt,0.7860014607780189,-0.9037206605668332,accuracy,0.32111088961516,0.84375,0.7149758454106281,0.6764780420694398,0.7149758454106281,0.6764780420694398,0.8333333333333334,0.75,0.6973055541515351,0.8333333333333334,0.75,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
2,32,8,10,4,40,40,13.275,9.5,20,cuda,1.0,1,bce,0.0,1.0,platt,1.7474897221852577,-1.1026525357352508,accuracy,0.3595641755745156,0.90625,0.9270833333333333,0.8583333333333334,0.9270833333333333,0.8583333333333334,0.3333333333333333,0.5535714285714286,0.8083206593990326,0.3333333333333333,0.5535714285714286,0.5,0.3333333333333333,0.6,0.3333333333333333,1.0,3.0,2.0,2.0
3,32,8,10,4,20,20,12.6,12.0,20,cuda,1.0,1,bce,0.0,1.0,platt,0.7836730589978469,-0.9305677886506315,accuracy,0.49999999999999994,0.71875,0.6811594202898551,0.432989417989418,0.6811594202898551,0.432989417989418,0.5833333333333334,0.3666666666666667,0.7582938373088837,0.5833333333333334,0.3666666666666667,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
4,32,8,10,4,40,40,12.775,13.0,20,cuda,1.0,1,bce,0.0,1.0,platt,1.3079329093757186,-0.9279462047595725,accuracy,0.37810498061582276,0.8125,0.7874396135265701,0.7019420050273044,0.7874396135265701,0.7019420050273044,0.6666666666666667,0.41666666666666663,0.6995169818401337,0.6666666666666667,0.41666666666666663,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0
