fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.605,0.6666666666666666,0.6666666666666666,0.536231884057971,0.8,0.8333333333333335
0,youden,0.605,0.536231884057971,0.6666666666666666,0.536231884057971,0.8,0.8333333333333335
1,f1,0.5499999999999999,0.8888888888888888,0.8888888888888888,0.8454106280193237,0.6666666666666666,0.5
1,youden,0.5499999999999999,0.8454106280193237,0.8888888888888888,0.8454106280193237,0.6666666666666666,0.5
2,f1,0.581063985824585,0.5555555555555556,0.5555555555555556,0.4166666666666665,0.4,0.1333333333333333
2,youden,0.581063985824585,0.4166666666666665,0.5555555555555556,0.4166666666666665,0.4,0.1333333333333333
3,f1,0.5730403661727905,0.5714285714285715,0.5714285714285715,0.4057971014492754,0.28571428571428575,-0.16666666666666674
3,youden,0.5730403661727905,0.4057971014492754,0.5714285714285715,0.4057971014492754,0.28571428571428575,-0.16666666666666674
4,f1,0.49999999999999994,1.0,1.0,1.0,0.0,0.0
4,youden,0.49999999999999994,1.0,1.0,1.0,0.0,0.0
