fold,strategy,threshold,train_objective,train_f1,train_youden,val_f1,val_youden
0,f1,0.5957724452018738,0.761904761904762,0.761904761904762,0.7149758454106281,0.8,0.8333333333333335
0,youden,0.5957724452018738,0.7149758454106281,0.761904761904762,0.7149758454106281,0.8,0.8333333333333335
1,f1,0.5331659317016602,0.5142857142857142,0.5142857142857142,0.26086956521739135,0.5,0.33333333333333326
1,youden,0.5331659317016602,0.26086956521739135,0.5142857142857142,0.26086956521739135,0.5,0.33333333333333326
2,f1,0.59,0.75,0.75,0.6666666666666665,0.5,0.33333333333333326
2,youden,0.59,0.6666666666666665,0.75,0.6666666666666665,0.5,0.33333333333333326
3,f1,0.5249999999999999,0.5,0.5,0.21739130434782616,0.5,0.33333333333333326
3,youden,0.57,0.22222222222222232,0.3636363636363636,0.22222222222222232,0.0,-0.16666666666666663
4,f1,0.5249999999999999,1.0,1.0,1.0,0.0,0.0
4,youden,0.5249999999999999,1.0,1.0,1.0,0.0,0.0
