fold,n_train,n_val,best_epoch,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,threshold_strategy,threshold,train_threshold_objective,loss_cb_beta,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,val_loss
0,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,f1,0.6088213324546814,0.631578947368421,0.995,0.7500000000000001,0.5,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0,0.22180578112602234
1,32,8,1,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,f1,0.5499999999999999,0.6,0.995,0.5833333333333334,0.41666666666666663,0.75,0.5,0.8333333333333334,0.5,1.0,5.0,1.0,1.0,0.20237594842910767
2,32,8,16,cuda,1.4850171093507545,1,cb_focal,1.5,0.5149828906492455,f1,0.6649999999999999,0.9411764705882353,0.995,0.5333333333333333,0.625,0.5,0.6666666666666666,0.4,0.5,2.0,2.0,3.0,1.0,0.30418258905410767
3,32,8,13,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,f1,0.6,0.823529411764706,0.995,0.5,0.625,0.75,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.2248913198709488
4,32,8,18,cuda,1.4233983285853913,1,cb_focal,1.5,0.5766016714146087,f1,0.5599999999999999,1.0,0.995,0.6666666666666667,0.41666666666666663,0.625,0.0,0.8333333333333334,0.0,0.0,5.0,1.0,2.0,0.1854826658964157
