bootstrap_objective,threshold_aggregation,n_folds,threshold_mean,threshold_std,threshold_min,threshold_max,fold_mean_auroc,fold_std_auroc,fold_mean_auprc,fold_std_auprc,fold_mean_accuracy,fold_std_accuracy,fold_mean_sensitivity,fold_std_sensitivity,fold_mean_specificity,fold_std_specificity,fold_mean_f1,fold_std_f1,fold_mean_tp,fold_std_tp,fold_mean_tn,fold_std_tn,fold_mean_fp,fold_std_fp,fold_mean_fn,fold_std_fn,pooled_auroc,pooled_auprc,pooled_accuracy,pooled_sensitivity,pooled_specificity,pooled_f1,pooled_tp,pooled_tn,pooled_fp,pooled_fn
accuracy,median,5,0.3403776121619673,0.0309692114451926,0.3007729281645735,0.3821643818114181,0.97,0.041499665326629076,0.95,0.07453559924999302,0.875,0.08838834764831845,0.7333333333333333,0.25276251480171835,0.9333333333333333,0.09128709291752767,0.7533333333333333,0.18499249234015477,1.6,0.5477225575051661,5.4,0.5477225575051661,0.4,0.5477225575051662,0.6,0.5477225575051662,0.9592476489028213,0.9089418454391717,0.875,0.7272727272727273,0.9310344827586207,0.761904761904762,8.0,27.0,2.0,3.0
accuracy,q65,5,0.3494218983953458,0.03581680859779387,0.3007729281645735,0.3841118750558501,0.97,0.041499665326629076,0.95,0.07453559924999302,0.875,0.08838834764831845,0.7333333333333333,0.25276251480171835,0.9333333333333333,0.09128709291752767,0.7533333333333333,0.18499249234015477,1.6,0.5477225575051661,5.4,0.5477225575051661,0.4,0.5477225575051662,0.6,0.5477225575051662,0.9592476489028213,0.9089418454391717,0.875,0.7272727272727273,0.9310344827586207,0.761904761904762,8.0,27.0,2.0,3.0
accuracy,q75,5,0.35319890541187393,0.02991327353156596,0.3196579632472137,0.3841118750558501,0.97,0.041499665326629076,0.95,0.07453559924999302,0.875,0.08838834764831845,0.7333333333333333,0.25276251480171835,0.9333333333333333,0.09128709291752767,0.7533333333333333,0.18499249234015477,1.6,0.5477225575051661,5.4,0.5477225575051661,0.4,0.5477225575051662,0.6,0.5477225575051662,0.9592476489028213,0.9089418454391717,0.875,0.7272727272727273,0.9310344827586207,0.761904761904762,8.0,27.0,2.0,3.0
