fold,threshold_strategy,threshold,full_oof_threshold,full_oof_accuracy_score,bootstrap_threshold_mean,bootstrap_threshold_std,bootstrap_threshold_median,bootstrap_threshold_q65,bootstrap_threshold_q75,oof_auroc,oof_auprc,oof_accuracy,oof_sensitivity,oof_specificity,oof_f1,oof_tp,oof_tn,oof_fp,oof_fn
0,bootstrap_q65_accuracy,0.4307300855323174,0.4307300855323174,0.84375,0.4129160062400222,0.06107204583176542,0.4307300855323174,0.4307300855323174,0.4307300855323174,0.8792270531400966,0.6902074777074777,0.84375,0.6666666666666666,0.9130434782608695,0.7058823529411765,6.0,21.0,2.0,3.0
1,bootstrap_q65_accuracy,0.44710724262812246,0.4371868780342464,0.875,0.45148555813060476,0.025183576796665646,0.4371868780342464,0.44710724262812246,0.44710724262812246,0.8695652173913042,0.71506734006734,0.84375,0.7777777777777778,0.8695652173913043,0.7368421052631579,7.0,20.0,3.0,2.0
2,bootstrap_q65_accuracy,0.4152668064391749,0.3792607331007484,0.90625,0.41310442874022263,0.05100747119282552,0.38329204129204125,0.4152668064391749,0.4722174956622325,0.9479166666666666,0.8720619658119658,0.875,0.625,0.9583333333333334,0.7142857142857143,5.0,23.0,1.0,3.0
3,bootstrap_q65_accuracy,0.45173382964667513,0.45173382964667513,0.875,0.43942222113930895,0.04737362114186994,0.45173382964667513,0.45173382964667513,0.45173382964667513,0.9033816425120773,0.7858798064680417,0.875,0.6666666666666666,0.9565217391304348,0.75,6.0,22.0,1.0,3.0
4,bootstrap_q65_accuracy,0.4609997664058612,0.36145058275058267,0.8125,0.4247173713188709,0.0713106159912632,0.38928280088442596,0.4609997664058612,0.5249999999999999,0.8067632850241546,0.5972761806095139,0.75,0.5555555555555556,0.8260869565217391,0.5555555555555556,5.0,19.0,4.0,4.0
