model_key,model,auroc_mean,auroc_std,auroc_pooled,auprc_mean,auprc_std,auprc_pooled,accuracy_mean,accuracy_std,accuracy_pooled,sensitivity_mean,sensitivity_std,sensitivity_pooled,specificity_mean,specificity_std,specificity_pooled,f1_mean,f1_std,f1_pooled,tp_pooled,tn_pooled,fp_pooled,fn_pooled
linear_svm,Linear SVM,0.9866666666666667,0.029814239699997188,0.9780564263322884,0.9833333333333332,0.03726779962499651,0.9542355371900826,0.9,0.10458250331675945,0.9,0.8333333333333333,0.23570226039551584,0.8181818181818182,0.9266666666666665,0.10110500592068733,0.9310344827586207,0.8266666666666665,0.16733200530681513,0.8181818181818182,9.0,27.0,2.0,2.0
rbf_svm,RBF-SVM,0.9533333333333334,0.04314059701848258,0.9435736677115987,0.9166666666666666,0.08333333333333337,0.8552891552891554,0.825,0.06846531968814577,0.825,0.7333333333333333,0.25276251480171835,0.7272727272727273,0.8600000000000001,0.07958224257542212,0.8620689655172413,0.6866666666666665,0.1238278374733781,0.6956521739130435,8.0,25.0,4.0,3.0
random_forest,Random Forest,0.9033333333333333,0.10954451150103317,0.8589341692789968,0.8,0.24008100484813225,0.6835178856231487,0.825,0.11180339887498948,0.825,0.4666666666666666,0.3613247231446467,0.45454545454545453,0.9666666666666668,0.07453559924999298,0.9655172413793104,0.5333333333333333,0.36132472314464664,0.5882352941176471,5.0,28.0,1.0,6.0
xgboost,XGBoost,0.8133333333333332,0.16218987500937151,0.7586206896551724,0.6744444444444444,0.24575406757243115,0.5430175634791452,0.75,0.08838834764831845,0.75,0.1,0.223606797749979,0.09090909090909091,1.0,0.0,1.0,0.13333333333333333,0.29814239699997197,0.16666666666666666,1.0,29.0,0.0,10.0
mlp_full_features,MLP-full features,0.31,0.21717888172349234,0.2884012539184953,0.2953174603174603,0.08875654476061633,0.2065749746317438,0.725,0.05590169943749474,0.725,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,11.0
current_biomarker_mlp_q65,Biomarker MLP q65,0.97,0.041499665326629076,0.9404388714733543,0.95,0.07453559924999302,0.8678486850735655,0.9,0.055901699437494734,0.9,0.8333333333333333,0.23570226039551584,0.8181818181818182,0.9333333333333333,0.09128709291752767,0.9310344827586207,0.8133333333333332,0.11925695879998881,0.8181818181818182,9.0,27.0,2.0,2.0
