epoch,train_loss_mean,train_loss_std,train_eval_loss_mean,train_eval_loss_std,train_auroc_mean,train_auroc_std,train_auprc_mean,train_auprc_std,train_accuracy_mean,train_accuracy_std,train_f1_mean,train_f1_std
1,0.719088739156723,0.05129098297572225,0.6910157181322575,0.0757189155243875,0.5500935990338164,0.16126404234258027,0.38827677836553554,0.12726072580004816,0.53875,0.15420343374773418,0.29018990640608633,0.18376628007195778
2,0.7005088177323341,0.05317602865543569,0.6761253219842911,0.07253226162941062,0.6164824879227053,0.15360397739476053,0.4465424792203564,0.14219890206060848,0.570625,0.15097076391183312,0.3427883006961823,0.18745959949948687
3,0.6951432764530182,0.04945983945904261,0.6618154808878899,0.06977105332557097,0.6798867753623189,0.14677057677661348,0.5169632710655214,0.155880376989493,0.60125,0.15172793017740133,0.39264592240125695,0.18938175615318806
4,0.678697442561388,0.051310913042656926,0.6471797989308834,0.06629644896982467,0.7317134661835749,0.14167743833568888,0.585799115052201,0.16893335999243939,0.636875,0.14546859758261596,0.44538354810266106,0.18511047256686838
5,0.6663962619006634,0.06242741710948103,0.6330925120413303,0.06304187525481308,0.7827173913043478,0.12414827267971634,0.6397121202862658,0.16109698091781213,0.668125,0.14818335520632567,0.5067932905121627,0.17485933012164123
6,0.6481967324018478,0.043432827746980304,0.619084949940443,0.06003636031139638,0.8254242149758454,0.10607459341294821,0.6985455853722329,0.15301824302091974,0.6925,0.14360296384298546,0.5417159553508488,0.18097582005238333
7,0.6373045140504837,0.05943900997302023,0.6053467474877834,0.05725444885624664,0.8668312198067634,0.08621295399240453,0.7612993489118334,0.13139947126641813,0.725,0.137887903673933,0.5899823624874785,0.18972443549453713
8,0.6213065749406814,0.04240305065364272,0.5919004461169243,0.05489947740409191,0.8972871376811594,0.07119575332034798,0.806820190982746,0.11892431490745727,0.748125,0.12805731786260113,0.6309814187089064,0.15421618879838767
9,0.6041968071460724,0.051318043970846036,0.5786685627698899,0.052730884086493554,0.9190685386473431,0.054853229745819874,0.8424925019324787,0.0983224674347424,0.775,0.11743702176755272,0.6644035000272472,0.1552871777305679
10,0.5941097815334797,0.059838541606434634,0.5657501113414765,0.051088070465122246,0.9358016304347827,0.04666835391565291,0.871765074512591,0.0871931070146106,0.80625,0.09533105582170813,0.7032677987214206,0.14518766250569365
11,0.5805931121110917,0.04595761697287166,0.5534298230707645,0.049780040971661374,0.9502083333333334,0.038226174592797195,0.8987799498069106,0.07531160322140015,0.823125,0.08531575879624816,0.7272685833484738,0.13746018532847998
12,0.5671120850741863,0.040812949752441804,0.5413751813769341,0.048758995588797316,0.9621769323671497,0.03039369459018218,0.9210025523677484,0.06554652135279777,0.839375,0.07936139004321836,0.7510464124041456,0.12777789526608055
13,0.5552418653666973,0.04326592364691307,0.5298264689743519,0.04807459885942776,0.9695289855072464,0.025877384962096107,0.935530676161739,0.05693298135495611,0.85125,0.07511683077251145,0.7724915103429101,0.10655997100580629
14,0.5433711458742618,0.04992419970144978,0.5185670417547226,0.0476193741486644,0.9766878019323672,0.02172924007107817,0.9487671052622033,0.05137677736434781,0.865,0.07428442649982675,0.7971687440707294,0.09412457693424715
15,0.536815318763256,0.038549776911178155,0.5074744206666947,0.046929787523659824,0.9820546497584541,0.0182318626747357,0.959779771608203,0.043633274339558444,0.87875,0.0623850984627265,0.8148621257909318,0.08399836503037572
16,0.5244344253838062,0.045322394133652195,0.4961275653541088,0.046269612324851835,0.9859571256038647,0.015723454561821067,0.9684660575444889,0.036725049064983105,0.883125,0.05882363492262445,0.8220409230290506,0.07915536489096062
17,0.5155511075258254,0.044153478351042975,0.48472441285848616,0.04541207056052511,0.9890942028985508,0.0122552676484969,0.9751267282100615,0.028823368371495642,0.886875,0.059188415208535176,0.8298791432420051,0.07599270030292647
18,0.5033437815308571,0.04853072982953107,0.47309782058000566,0.044403748044309556,0.9916440217391305,0.010486460108759327,0.9811562765937765,0.024167291541755252,0.895625,0.058073476725434586,0.8431082688911872,0.07593452380806398
19,0.49381561249494554,0.04087719734307899,0.4617454768717289,0.043582928059041244,0.992632850241546,0.009835503548609487,0.9830155222863556,0.023471600857960816,0.908125,0.05221878644858825,0.8597401188781455,0.07129912368293488
20,0.4884973666071892,0.04569109555442598,0.4503284132480621,0.04281267096638575,0.9944097222222222,0.008108759802200355,0.9868339561672894,0.020514346217598595,0.913125,0.050621929234154595,0.8668201873357346,0.06900605124147391
21,0.4798481249809265,0.047531588530159354,0.43898392364382743,0.04250484631847873,0.9953759057971014,0.007407157931280972,0.9890617900617901,0.018646499373278138,0.92125,0.04649720202246979,0.8774485137512462,0.06685068813047965
22,0.4721995356678963,0.04846751981386297,0.4275621663033962,0.042537349278611566,0.9964462560386473,0.006254663581015758,0.9914445061111727,0.015481228969351828,0.93125,0.046394218059880636,0.8934787922103173,0.0667138149282483
23,0.4585445672273636,0.05023544990970265,0.4163118715584278,0.04253717051214192,0.9970410628019324,0.00600802988112766,0.9927121828788494,0.01508175858156181,0.936875,0.04574095901522675,0.9015594798629527,0.0666505114538801
24,0.44197446703910825,0.044817426123888324,0.4055263724923134,0.042643055058947006,0.9974350845410628,0.005389653918164729,0.9935873015873016,0.014124094599367459,0.940625,0.044754325124471944,0.9072361403197989,0.06556627100631705
25,0.43398206315934656,0.04432809656724541,0.39510570004582407,0.04260735830596767,0.99793327294686,0.005054225221860331,0.9946832611832612,0.013762244414782047,0.945,0.04307977886362435,0.9135074245910831,0.06320293302294337
26,0.415535239726305,0.048082984132469586,0.38500612847507,0.04241368328438956,0.9985356280193237,0.004632377662221875,0.9961119929453263,0.013047366213139726,0.946875,0.04430677062785537,0.9164362171607426,0.06524036526301531
27,0.4197182387113571,0.0425388030999591,0.37484760612249374,0.042077773125719684,0.9987364130434783,0.004125899534880929,0.9966516754850088,0.011664609014874039,0.94875,0.0422388434732674,0.9188742688116089,0.06301187156732804
28,0.4037463343143463,0.0441651024949679,0.36487297229468824,0.04175917800671471,0.9989296497584541,0.003140502817318748,0.9973395061728395,0.007982399652794932,0.953125,0.041520257227094355,0.925766910397749,0.06201576194407891
29,0.4029265762120485,0.04706551120767664,0.3550809245556593,0.04170013183325017,0.9989296497584541,0.003140502817318748,0.9973395061728395,0.007982399652794932,0.956875,0.0383461094133793,0.9309718793418483,0.05856587896868314
30,0.38646777138113975,0.04295112341792062,0.345635642260313,0.041502624293228804,0.99912288647343,0.0027182850586092593,0.9978395061728395,0.006813560413432744,0.959375,0.03748405273157739,0.9346861650561341,0.057534557598521954
31,0.3802357541769743,0.04378397023163826,0.3367206148803234,0.04120651908133419,0.9993161231884058,0.002199814632871998,0.9983395061728395,0.005349794642453364,0.961875,0.0347469441469465,0.9381270399706932,0.054094928238757556
32,0.37578368961811065,0.049148137366112336,0.32795153617858885,0.04075578335202532,0.9995093599033816,0.0017792279680116335,0.9988086419753087,0.004330878971353045,0.961875,0.0335802135162348,0.9379315512488887,0.05239903104237132
33,0.36244161643087863,0.041975294826353864,0.31942953616380687,0.04019162919081947,0.9997025966183576,0.0015389856689810725,0.9992530864197531,0.003820535924170353,0.965,0.032586227840883324,0.9429056531703591,0.05090206336891214
34,0.3538373241573572,0.03986360223294083,0.3111068224161863,0.03974834973975774,0.9997025966183576,0.0015389856689810725,0.9992530864197531,0.003820535924170353,0.965625,0.03355646513029667,0.944172349322504,0.052261101632348865
35,0.3440464160591364,0.039331350977360555,0.3028881669789552,0.039381420719844566,0.9997025966183576,0.0015389856689810725,0.9992530864197531,0.003820535924170353,0.96875,0.03219242210235703,0.9489392666157371,0.05065286202520731
36,0.3380213932693005,0.044079896981138816,0.29514879561960694,0.039059091770659714,0.9997992149758455,0.0009943593191560406,0.9995,0.0024902176967836797,0.97125,0.030826208038628698,0.9527437778939327,0.048819581901142745
37,0.3422015615552664,0.0487012179083048,0.2875177766382694,0.038523724314589725,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.974375,0.029403346071562718,0.9581794504085527,0.045799867735168476
38,0.32589176557958127,0.041873511744978754,0.27978674232959744,0.037756489329929185,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.9775,0.02606164199879718,0.9628684456238636,0.041763702111381376
39,0.3186926122754812,0.039997667603402044,0.27229250371456143,0.03697574894643946,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.979375,0.024944134008391076,0.9658308516389011,0.04042601858455213
40,0.31811380989849564,0.045781225956546344,0.26513417445123194,0.03624959256178273,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.98,0.02425549590572523,0.9667782200599538,0.039393662320671236
41,0.3100360659509897,0.039295636918700826,0.25822122067213055,0.03561499026942273,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.980625,0.021769973821851082,0.9675300997592019,0.03603931693651334
42,0.30206448607146735,0.03746948516004573,0.25168313331902026,0.035085452644555065,0.9999033816425121,0.0006831949576681689,0.9997777777777778,0.0015713484026367815,0.981875,0.020054533433228775,0.9694248366013072,0.03355034059311573
43,0.29365597069263455,0.045218201312682414,0.24530709564685818,0.03457064798770563,1.0,0.0,1.0,0.0,0.981875,0.021952305094900443,0.9695417956656347,0.03651322053793132
44,0.2940203312784433,0.04332844458914762,0.23901093341410157,0.03386739268064935,1.0,0.0,1.0,0.0,0.98375,0.0202030508910442,0.9727065703474372,0.033700582644153314
45,0.2850178917497396,0.04306886601153807,0.2327612633258104,0.03303197691538598,1.0,0.0,1.0,0.0,0.985625,0.019160056905245484,0.9757592019263847,0.03218137428807884
46,0.2777577608823776,0.03776512258603419,0.2266926886886358,0.032456469426502765,1.0,0.0,1.0,0.0,0.98625,0.01910797728485063,0.9768118335053321,0.032094433331608545
47,0.2675017384439706,0.03732689040653938,0.22089293681085106,0.0318806488357211,1.0,0.0,1.0,0.0,0.988125,0.016572063565420174,0.9797592019263845,0.028443542695278302
48,0.2537438368052244,0.04079229052202448,0.2153641705960035,0.0312804850638408,1.0,0.0,1.0,0.0,0.989375,0.016231838359551637,0.9818644650842794,0.027900028792955393
49,0.2564907898753881,0.042845627669719194,0.21017001081258055,0.030649965086074565,1.0,0.0,1.0,0.0,0.98875,0.01758724607463589,0.9809170966632267,0.0298325623251044
50,0.25651459801942106,0.03626285414882085,0.20509567279368635,0.030019573425410395,1.0,0.0,1.0,0.0,0.990625,0.014465939058946126,0.9839628482972137,0.02477325080643754
51,0.25119089603424066,0.03844048090096286,0.19991390287876126,0.02944784368979195,1.0,0.0,1.0,0.0,0.990625,0.014465939058946126,0.9839628482972137,0.02477325080643754
52,0.24044226147234438,0.031270707108594885,0.1950713443011045,0.029122323474179417,1.0,0.0,1.0,0.0,0.990625,0.014465939058946116,0.9840866873065016,0.024569640717060647
53,0.23518475756049154,0.03254386998627452,0.190481155924499,0.02872402790232329,1.0,0.0,1.0,0.0,0.99125,0.014173667737846018,0.9851393188854489,0.024087127473135916
54,0.23954901851713653,0.030682982813759214,0.18585427727550263,0.02820484885331558,1.0,0.0,1.0,0.0,0.99125,0.014173667737846018,0.9851393188854489,0.024087127473135916
55,0.22638242244720455,0.03507547670682412,0.18126423500478264,0.027603785898885364,1.0,0.0,1.0,0.0,0.99125,0.014173667737846018,0.9851393188854489,0.024087127473135916
56,0.22685717511922118,0.032877988578709445,0.1766787029057741,0.026956514651049222,1.0,0.0,1.0,0.0,0.9925,0.01348184720584061,0.9872445820433436,0.022944514874032818
57,0.22568424373865123,0.035505282891647894,0.1722639479115605,0.0263251420888838,1.0,0.0,1.0,0.0,0.993125,0.013076623674890011,0.9882972136222911,0.02227530809575195
58,0.2091174022480845,0.029556919736855293,0.16805675689131017,0.025716365556044157,1.0,0.0,1.0,0.0,0.99375,0.012626906806902633,0.9893498452012384,0.02153292006180454
59,0.21730921443551776,0.03331716795099483,0.16393497731536624,0.02513213564898949,1.0,0.0,1.0,0.0,0.993125,0.013076623674889999,0.9882972136222911,0.02227530809575195
60,0.20647545017302033,0.03355475825529135,0.15995142113417382,0.024494497134800355,1.0,0.0,1.0,0.0,0.99375,0.012626906806902633,0.9893498452012384,0.02153292006180452
61,0.1997416032478213,0.03072898312722047,0.15620168954133984,0.02390495824210219,1.0,0.0,1.0,0.0,0.99375,0.012626906806902633,0.9893498452012384,0.02153292006180452
62,0.19878531914204356,0.02964837523127447,0.15253672685474154,0.023400704619290186,1.0,0.0,1.0,0.0,0.995,0.011572751247156877,0.9915789473684211,0.0194909494688958
63,0.1954590347409248,0.037845798762464855,0.14891196254640815,0.022729472523431566,1.0,0.0,1.0,0.0,0.995,0.011572751247156877,0.9915789473684211,0.0194909494688958
64,0.18935882244259117,0.030296718724324212,0.14541789799928662,0.02208162408656277,1.0,0.0,1.0,0.0,0.99625,0.010258147583103627,0.9936842105263157,0.01727688013996396
65,0.18328858561813827,0.021961212353384305,0.1421173926070332,0.021651190856247338,1.0,0.0,1.0,0.0,0.996875,0.009470180105176989,0.9947368421052631,0.01594977701924541
66,0.17934112586081025,0.02686020249174003,0.13900364316999908,0.02135067442008867,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
67,0.18025043878704305,0.026382157426404502,0.1360266145691275,0.02114489913770935,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
68,0.17384379684925075,0.026101921528450832,0.13311602786183355,0.020868786895734695,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
69,0.17161468882113692,0.02913043141575074,0.13029415011405943,0.020453040671584988,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
70,0.16990865699946878,0.025335840024180618,0.12756358999758954,0.0200897512030996,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
71,0.16734422340989108,0.026684404995602814,0.1247855835780501,0.01958227351693807,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
72,0.16735574346035714,0.030177305459970452,0.12204483941197392,0.019010885783032734,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
73,0.16106413435190914,0.026065036446956114,0.11938877917826173,0.018419091511699084,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
74,0.1579912349581718,0.02726233723003391,0.11682379703968758,0.0179342250869925,1.0,0.0,1.0,0.0,0.9975,0.008563984863058417,0.9957894736842106,0.014423553453572055
75,0.15789060253649947,0.023113768964079504,0.11433711104094979,0.017586697377196227,1.0,0.0,1.0,0.0,0.998125,0.0074968105463154786,0.996842105263158,0.012626207235899719
76,0.1560484907403588,0.02190775502740885,0.1119181682541966,0.017290908648802835,1.0,0.0,1.0,0.0,0.998125,0.0074968105463154786,0.996842105263158,0.012626207235899719
77,0.15577668912708756,0.021969884778328792,0.10957468062639233,0.01691176367327798,1.0,0.0,1.0,0.0,0.998125,0.0074968105463154786,0.996842105263158,0.012626207235899719
78,0.14586717817932363,0.024024359249587686,0.10730798862874505,0.01646586089839277,1.0,0.0,1.0,0.0,0.998125,0.0074968105463154786,0.996842105263158,0.012626207235899719
79,0.14591819435358044,0.023081697479711,0.1051400267332792,0.016077992464183934,1.0,0.0,1.0,0.0,0.998125,0.0074968105463154786,0.996842105263158,0.012626207235899719
80,0.1396854088455438,0.017862406623236488,0.10302231162786478,0.015745533495318098,1.0,0.0,1.0,0.0,0.99875,0.006185895741317423,0.9978947368421052,0.010418350722218783
