fold,n_train,n_val,ensemble_size,inner_splits,inner_best_epoch_mean,inner_best_epoch_median,final_epochs,device,pos_weight,weighted_sampler,loss_name,loss_gamma,loss_neg_weight,calibration_method,calibration_coef,calibration_intercept,threshold_strategy,threshold,train_threshold_objective,oof_auroc_uncalibrated,oof_auprc_uncalibrated,oof_auroc_calibrated,oof_auprc_calibrated,val_auroc_uncalibrated,val_auprc_uncalibrated,val_loss,auroc,auprc,accuracy,sensitivity,specificity,f1,tp,tn,fp,fn
0,32,8,10,4,14.1,13.5,80,cuda,1.0,1,bce,0.0,1.0,platt,1.6904264494589196,-0.784152292726732,balanced_accuracy,0.32374034409242125,0.9565217391304348,0.9323671497584541,0.7918791085457753,0.9323671497584541,0.7918791085457753,1.0,1.0,0.3030648991465569,1.0,1.0,0.875,0.5,1.0,0.6666666666666666,1.0,6.0,0.0,1.0
1,32,8,10,4,14.275,16.0,80,cuda,1.0,1,bce,0.0,1.0,platt,1.7761656224816742,-0.7886951849640171,balanced_accuracy,0.3474081596244773,0.8792270531400965,0.9178743961352657,0.723577040243707,0.9178743961352657,0.723577040243707,0.9166666666666667,0.8333333333333333,0.3400438025593758,0.9166666666666667,0.8333333333333333,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
2,32,8,10,4,11.075,8.0,80,cuda,1.0,1,bce,0.0,1.0,platt,1.7174873699167728,-1.055968534877638,balanced_accuracy,0.2820715027672283,0.9375,0.9322916666666666,0.7947781385281385,0.9322916666666666,0.7947781385281385,0.9333333333333333,0.9166666666666666,0.37898840606212614,0.9333333333333333,0.9166666666666666,0.875,0.6666666666666666,1.0,0.8,2.0,5.0,0.0,1.0
3,32,8,10,4,16.075,14.0,80,cuda,1.0,1,bce,0.0,1.0,platt,1.7218790622958882,-0.8612655583514931,balanced_accuracy,0.33922581557388765,0.8671497584541064,0.9082125603864735,0.8263227513227513,0.9082125603864735,0.8263227513227513,1.0,1.0,0.3072538286447525,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
4,32,8,10,4,16.65,16.5,80,cuda,1.0,1,bce,0.0,1.0,platt,1.7547307946028967,-0.7620079456274216,balanced_accuracy,0.3162621450149029,0.9009661835748792,0.9275362318840579,0.7424603174603175,0.9275362318840579,0.7424603174603175,1.0,1.0,0.2170155167579651,1.0,1.0,0.875,1.0,0.8333333333333334,0.8,2.0,5.0,1.0,0.0
